TIME,DISP,TEMP
4060,0.300098,17.3183
4065,0.375405,17.2078
4070,0.405951,17.0914
4075,0.451034,16.9671
4080,0.560153,16.7883
4085,0.604054,16.6452
4090,0.659177,16.5389
4095,0.697246,16.2848
4100,0.725297,16.1916
4105,0.823018,16.0487
4110,0.854318,15.9521
4115,0.904226,15.8464
4120,0.925411,15.7189
4125,0.969631,15.6174
4130,1.01855,15.5594
4135,1.05091,15.4947
4140,1.07453,15.3921
4145,1.10322,15.2223
4150,1.14361,15.1296
4155,1.16706,15.0184
4160,1.20571,14.9722
4165,1.2329,14.8866
4170,1.2545,14.7826
4175,1.2695,14.6659
4180,1.33823,14.422
4185,1.37259,14.2864
4190,1.39897,14.2037
4195,1.42518,14.1622
4200,1.43909,14.117
4205,1.45408,14.0549
4210,1.47353,13.9686
4215,1.49268,13.8545
4220,1.51009,13.7362
4225,1.54172,13.6462
4230,1.56279,13.62
4235,1.57655,13.5679
4240,1.59142,13.5511
4245,1.60306,13.5323
4250,1.61278,13.5025
4255,1.62123,13.5349
4260,1.63263,13.5167
4265,1.64728,13.4732
4270,1.64879,13.4303
4275,1.66782,13.4071
4280,1.67514,13.3717
4285,1.68344,13.3713
4290,1.68386,13.2322
4295,1.70454,13.1738
4300,1.72342,13.1066
4305,1.73826,13.027
4310,1.76024,13.0012
4315,1.7648,13.0186
4320,1.77704,12.99
4325,1.79797,12.9676
4330,1.80172,12.9054
4335,1.82897,12.837
4340,1.83125,12.8417
4345,1.83754,12.8174
4350,1.84341,12.8038
4355,1.85459,12.7639
4360,1.86102,12.738
4365,1.86892,12.7196
4370,1.87502,12.6779
4375,1.89066,12.5558
4380,1.89982,12.5464
4385,1.90411,12.5441
4390,1.915,12.472
4395,1.93359,12.4306
4400,1.94893,12.4279
4405,1.96244,12.3972
4410,1.97061,12.3776
4415,1.97233,12.3591
4420,1.97428,12.3498
4425,1.98152,12.3416
4430,1.9842,12.323
4435,1.99089,12.2834
4440,1.99979,12.2629
4445,2.00624,12.2385
4450,2.01111,12.2093
4455,2.01745,12.1774
4460,2.02221,12.1669
4465,2.02989,12.1547
4470,2.03262,12.1438
4475,2.03633,12.1382
4480,2.04149,12.0999
4485,2.05614,12.0688
4490,2.05651,12.068
4495,2.06432,12.0442
4500,2.07409,12.0309
4505,2.07753,12.0023
4510,2.07991,11.984
4515,2.0866,11.9595
4520,2.09014,11.9504
4525,2.10167,11.9237
4530,2.11819,11.8704
4535,2.12386,11.8468
4540,2.13027,11.8221
